loan_id,customer_name,branch,loan_type,loan_amount,interest_rate,tenure_months,disbursed_date,status,emi_amount,repaid_amount,credit_score,month
LN00066,Pranav Nayak,Mumbai,Personal Loan,622843,14.39,36,2023-01-22,Closed,39188,66197,699,2023-01
LN00067,Wriddhish Dass,Hyderabad,Gold Loan,306508,13.57,12,2023-01-23,Active,8845,493992,796,2023-01
LN00068,Amara Seshadri,Hyderabad,Business Loan,853591,16.99,18,2023-01-23,Closed,24162,223492,816,2023-01
LN00069,Pratyush Narayanan,Kolkata,Personal Loan,946942,15.99,36,2023-01-23,Active,39674,785833,800,2023-01
LN00070,Logan Chad,Mumbai,Gold Loan,156530,9.94,36,2023-01-24,Closed,22337,426070,552,2023-01
LN00071,Dayamai Garg,Kolkata,Business Loan,654365,11.46,12,2023-01-24,NPA,25313,76240,625,2023-01
LN00072,Bishakha Misra,Hyderabad,Gold Loan,510337,10.86,12,2023-01-24,Active,29943,235595,636,2023-01
LN00073,Sathvik Deshpande,Bhubaneswar,Business Loan,855889,15.57,36,2023-01-25,Active,15413,1327042,819,2023-01
LN00074,Falan Chaudry,Bhubaneswar,Gold Loan,258261,8.82,6,2023-01-25,Closed,3276,1055544,774,2023-01
LN00075,Kevin Chatterjee,Bhubaneswar,Personal Loan,1439673,13.91,36,2023-01-25,Closed,20611,289662,567,2023-01
LN00076,Gunbir Bahl,Mumbai,Business Loan,1413715,15.74,36,2023-01-26,Closed,42105,838357,662,2023-01
LN00077,Udant Bawa,Mumbai,Gold Loan,1270405,16.83,12,2023-01-26,Active,14944,190920,800,2023-01
LN00078,Kashish Gandhi,Mumbai,Personal Loan,321836,11.75,12,2023-01-26,Active,18906,898332,782,2023-01
LN00079,Avi Ratta,Kolkata,Business Loan,1039913,16.3,36,2023-01-27,Active,23536,879854,828,2023-01
LN00080,Ishaan Khalsa,Mumbai,Gold Loan,252283,9.55,36,2023-01-27,NPA,30810,1312420,751,2023-01
LN00081,Edhitha Parekh,Chennai,Personal Loan,246769,16.54,36,2023-01-27,Defaulted,15306,232076,632,2023-01
LN00082,Bachittar Maharaj,Mumbai,Gold Loan,611353,9.71,12,2023-01-28,Active,13503,1071775,674,2023-01
LN00083,Brijesh Sampath,Chennai,Business Loan,1321741,12.27,36,2023-01-28,Active,22225,437805,724,2023-01
LN00084,Bachittar Khurana,Hyderabad,Business Loan,1096797,16.07,36,2023-01-28,Defaulted,39976,163187,618,2023-01
LN00085,Chakrika Batta,Mumbai,Business Loan,1000110,9.92,24,2023-01-29,Defaulted,14590,455150,596,2023-01
LN00086,Varsha Arya,Chennai,Gold Loan,537879,10.68,6,2023-01-29,Active,13886,509551,805,2023-01
LN00087,Naksh Hari,Mumbai,Gold Loan,614685,15.36,18,2023-01-29,Closed,15866,1054096,764,2023-01
LN00088,Januja Golla,Chennai,Personal Loan,832038,15.34,6,2023-01-30,Active,4088,167527,579,2023-01
LN00089,Reva Sheth,Chennai,Personal Loan,1452107,14.59,24,2023-01-30,Closed,6363,770644,830,2023-01
LN00090,Janya Ramachandran,Mumbai,Personal Loan,1361736,15.09,18,2023-01-30,Closed,35792,647652,786,2023-01
LN00091,Faraj Goyal,Bhubaneswar,Business Loan,1057293,13.66,36,2023-01-31,Active,12764,1223697,797,2023-01
LN00092,Rajata Gade,Hyderabad,Gold Loan,629879,10.89,24,2023-01-31,Active,23620,987797,574,2023-01
LN00093,Aarna Mallick,Hyderabad,Personal Loan,1319460,11.78,36,2023-01-31,Active,45727,250144,623,2023-01
LN00094,Jeremiah Dubey,Kolkata,Personal Loan,73247,10.23,12,2023-02-01,Closed,15935,64925,755,2023-02
LN00095,Aadhya Sachdeva,Hyderabad,Business Loan,1122876,17.13,24,2023-02-01,Closed,11068,369360,643,2023-02
LN00096,Max Vora,Chennai,Personal Loan,657086,14.04,12,2023-02-01,Active,10295,594557,676,2023-02
LN00097,Ridhi Wagle,Chennai,Gold Loan,583556,12.31,24,2023-02-02,Active,44160,948458,574,2023-02
LN00098,Lipika Ramesh,Chennai,Business Loan,1447527,12.89,24,2023-02-02,Active,14390,990121,665,2023-02
LN00099,Sanya Chowdhury,Mumbai,Business Loan,1372905,17.5,12,2023-02-02,Active,44216,1352178,597,2023-02
LN00100,Oviya Gulati,Hyderabad,Gold Loan,792139,9.96,18,2023-02-03,Active,23131,1399757,775,2023-02
LN00101,Abha Badal,Hyderabad,Gold Loan,482315,14.07,6,2023-02-03,Active,32218,1148553,815,2023-02
LN00102,Anya Sharma,Mumbai,Gold Loan,976075,13.31,36,2023-02-03,Closed,13433,483442,648,2023-02
LN00103,Gautami Oza,Mumbai,Business Loan,566588,14.31,24,2023-02-04,Active,18038,830371,560,2023-02
LN00104,Maya Sandal,Bhubaneswar,Business Loan,1335160,8.67,36,2023-02-04,Active,31182,1077921,634,2023-02
LN00105,Arya Karan,Bhubaneswar,Business Loan,1028732,16.79,12,2023-02-04,Closed,14528,779976,763,2023-02
LN00106,Dayamai Bal,Hyderabad,Personal Loan,1475472,17.36,36,2023-02-05,Active,24281,1420827,722,2023-02
LN00107,Nachiket Soni,Mumbai,Personal Loan,98984,13.87,12,2023-02-05,Active,11605,1009869,758,2023-02
LN00108,Triveni Dutt,Kolkata,Business Loan,352918,15.12,36,2023-02-05,Defaulted,37782,493814,613,2023-02
LN00109,Keya Tiwari,Mumbai,Gold Loan,314712,17.26,6,2023-02-06,NPA,4381,331310,807,2023-02
LN00110,Yoshita Bandi,Kolkata,Business Loan,1218727,15.22,6,2023-02-06,Active,4098,97406,670,2023-02
LN00111,Jeet Bhat,Bhubaneswar,Business Loan,183767,9.95,6,2023-02-06,Active,22810,1360018,847,2023-02
LN00112,Michael Sani,Mumbai,Business Loan,698663,13.97,6,2023-02-07,Active,27322,964725,603,2023-02
LN00113,Kalpit Seth,Mumbai,Business Loan,186330,14.26,6,2023-02-07,Active,44869,1355662,821,2023-02
LN00114,Janya Ganguly,Chennai,Business Loan,530754,12.53,6,2023-02-07,Active,35955,579223,790,2023-02
LN00115,Matthew Sachdev,Bhubaneswar,Business Loan,1400224,15.5,12,2023-02-08,Active,47716,384583,792,2023-02
LN00116,Tanvi Arora,Kolkata,Gold Loan,63986,17.38,24,2023-02-08,Closed,13207,1021436,567,2023-02
LN00117,Aarna Hayer,Chennai,Gold Loan,636146,17.29,36,2023-02-08,Active,24793,794760,736,2023-02
LN00118,Faqid Desai,Chennai,Personal Loan,1227888,12.78,6,2023-02-09,Closed,5092,1064110,693,2023-02
LN00119,Ati Gandhi,Bhubaneswar,Gold Loan,62666,9.58,12,2023-02-09,Active,31220,1002429,811,2023-02
LN00120,Dipta Handa,Bhubaneswar,Gold Loan,1399380,17.86,12,2023-02-09,Closed,21514,1149122,788,2023-02
LN00121,Zayan Dalal,Hyderabad,Business Loan,184633,16.47,12,2023-02-10,Closed,41010,604489,847,2023-02
LN00122,Gunbir Chopra,Hyderabad,Business Loan,338998,9.68,24,2023-02-10,Active,11549,1046439,625,2023-02
LN00123,Omisha Sastry,Chennai,Gold Loan,900937,17.25,36,2023-02-10,Closed,25031,758761,737,2023-02
LN00124,Panini Walia,Bhubaneswar,Business Loan,678776,16.76,24,2023-02-11,Active,8185,1319360,795,2023-02
LN00125,Chanchal Kara,Hyderabad,Gold Loan,1383382,13.43,18,2023-02-11,Active,18271,231324,679,2023-02
LN00126,Ojas Narang,Chennai,Personal Loan,1129111,14.12,12,2023-02-11,Active,8776,484273,832,2023-02
LN00127,Krishna Chakrabarti,Kolkata,Personal Loan,1046107,12.29,18,2023-02-12,Closed,15449,1447410,628,2023-02
LN00128,Ishani Borra,Mumbai,Gold Loan,1474289,9.02,6,2023-02-12,Active,27297,1282188,621,2023-02
LN00129,Irya Basu,Mumbai,Personal Loan,888688,11.68,6,2023-02-12,Closed,43591,919424,812,2023-02
LN00130,Urmi Chadha,Bhubaneswar,Gold Loan,401279,16.13,24,2023-02-13,Active,18717,306081,740,2023-02
LN00131,Siddharth Sethi,Kolkata,Business Loan,963910,8.54,36,2023-02-13,NPA,43123,725084,612,2023-02
LN00132,Ojasvi Khare,Hyderabad,Business Loan,539570,11.67,18,2023-02-13,Closed,42233,1191855,561,2023-02
LN00133,Ethan Vasa,Mumbai,Personal Loan,1371685,12.28,36,2023-02-14,Active,48505,1245422,690,2023-02
LN00134,Chandani Date,Mumbai,Business Loan,74538,13.61,24,2023-02-14,NPA,49092,688332,803,2023-02
LN00135,Gaurang Pandey,Hyderabad,Personal Loan,944498,17.24,6,2023-02-14,Active,13350,1452591,592,2023-02
LN00136,Anmol Majumdar,Mumbai,Business Loan,251664,11.79,36,2023-02-15,Active,33622,726448,566,2023-02
LN00137,Warjas Sarkar,Bhubaneswar,Personal Loan,541234,11.8,36,2023-02-15,NPA,38323,422132,612,2023-02
LN00138,Chandran Chakrabarti,Chennai,Personal Loan,189182,15.51,6,2023-02-15,Defaulted,5951,70463,802,2023-02
LN00139,Tejas Brahmbhatt,Kolkata,Personal Loan,1256914,12.8,18,2023-02-16,Closed,20622,93500,841,2023-02
LN00140,Leena Chaudhari,Bhubaneswar,Gold Loan,234064,10.63,6,2023-02-16,NPA,7727,1256348,557,2023-02
LN00141,Balhaar Bhatt,Hyderabad,Gold Loan,264020,12.8,36,2023-02-16,Closed,41454,561446,639,2023-02
LN00142,Bhavika Mani,Chennai,Personal Loan,1089577,9.84,18,2023-02-17,Active,39469,1133183,757,2023-02
LN00143,Ronith Sarma,Bhubaneswar,Personal Loan,673094,10.18,18,2023-02-17,Active,38548,769305,841,2023-02
LN00144,Falak Pai,Chennai,Personal Loan,947421,13.23,6,2023-02-17,Active,26782,333840,833,2023-02
LN00145,Ladli Sem,Chennai,Gold Loan,665270,12.48,36,2023-02-18,Active,31454,847942,667,2023-02
LN00146,Warinder Varma,Mumbai,Gold Loan,1217752,17.19,24,2023-02-18,Active,5368,120076,724,2023-02
LN00147,Ladli Prashad,Mumbai,Gold Loan,967710,11.94,36,2023-02-18,Closed,18592,1107268,625,2023-02
LN00148,Vasudha Palla,Mumbai,Business Loan,1316702,14.02,12,2023-02-19,Defaulted,25173,655129,650,2023-02
LN00149,Sudiksha Lata,Bhubaneswar,Gold Loan,268969,14.51,24,2023-02-19,Defaulted,36204,717104,700,2023-02
LN00150,Anvi Kurian,Hyderabad,Personal Loan,172409,8.62,18,2023-02-19,Active,38596,802242,819,2023-02
LN00151,Vamakshi Mittal,Kolkata,Personal Loan,303618,14.8,24,2023-02-20,Active,37324,922630,620,2023-02
LN00152,Banjeet Andra,Hyderabad,Personal Loan,819598,10.19,18,2023-02-20,Defaulted,49132,161081,729,2023-02
LN00153,Brinda Lata,Kolkata,Business Loan,1148591,17.63,18,2023-02-20,Closed,26864,1160294,673,2023-02
LN00154,Sai Ahluwalia,Kolkata,Gold Loan,822838,9.91,24,2023-02-21,Active,33750,1401652,842,2023-02
LN00155,Nikita Chakraborty,Kolkata,Gold Loan,1220672,12.44,18,2023-02-21,Closed,13576,524480,834,2023-02
LN00156,Daksh Kibe,Kolkata,Gold Loan,1283916,9.31,18,2023-02-21,Active,19566,247536,744,2023-02
LN00157,Kala Khalsa,Kolkata,Personal Loan,1209263,17.97,12,2023-02-22,Active,10190,36413,777,2023-02
LN00158,Advaith Sarna,Hyderabad,Business Loan,924371,13.27,36,2023-02-22,Active,26071,1192464,824,2023-02
LN00159,Naveen Sarin,Kolkata,Personal Loan,785716,14.16,36,2023-02-22,Closed,41333,851480,655,2023-02
LN00160,Ekiya Mandal,Hyderabad,Personal Loan,1204454,9.14,12,2023-02-23,Active,18369,575228,570,2023-02
LN00161,Anay Wali,Kolkata,Personal Loan,1023548,15.62,24,2023-02-23,Active,27035,564430,613,2023-02
LN00162,Baljiwan Srinivas,Chennai,Gold Loan,1296862,10.49,6,2023-02-23,Active,4589,36468,714,2023-02
LN00163,Vrinda Sabharwal,Mumbai,Business Loan,823290,17.03,6,2023-02-24,Active,28235,948202,576,2023-02
LN00164,Harsh Mane,Chennai,Gold Loan,1263475,10.45,6,2023-02-24,Active,3159,666015,834,2023-02
LN00165,Zayyan Chahal,Mumbai,Personal Loan,1423343,10.31,12,2023-02-24,Defaulted,15145,1227545,697,2023-02
LN00166,Balvan Upadhyay,Mumbai,Personal Loan,1049238,8.85,12,2023-02-25,Active,18373,1471867,830,2023-02
LN00167,Tanay Anne,Kolkata,Personal Loan,911882,12.98,18,2023-02-25,Active,34921,926863,713,2023-02
LN00168,Abhimanyu Dubey,Mumbai,Business Loan,429989,13.87,6,2023-02-25,Active,42323,915480,773,2023-02
LN00169,Kamya Chand,Mumbai,Gold Loan,465515,9.12,24,2023-02-26,Defaulted,19237,1284763,821,2023-02
LN00170,Kashish Raju,Hyderabad,Gold Loan,93585,15.87,24,2023-02-26,Closed,44971,42056,695,2023-02
LN00171,Chatura Andra,Hyderabad,Gold Loan,1469945,12.81,6,2023-02-26,Active,11244,51831,579,2023-02
LN00172,Kashish Gandhi,Mumbai,Business Loan,114044,13.48,6,2023-02-27,Active,17743,845623,594,2023-02
LN00173,Upasna Kashyap,Mumbai,Business Loan,1010061,12.69,6,2023-02-27,Closed,34566,773952,824,2023-02
LN00174,Ayush Jani,Kolkata,Business Loan,492296,12.31,12,2023-02-27,Active,49101,908380,583,2023-02
LN00175,Yashodhara Sankaran,Kolkata,Personal Loan,159556,13.82,12,2023-02-28,Closed,49109,426488,690,2023-02
LN00176,Aarini Bhardwaj,Bhubaneswar,Personal Loan,817595,9.97,12,2023-02-28,NPA,21691,632405,770,2023-02
LN00177,Krisha Anand,Kolkata,Business Loan,250235,10.23,36,2023-02-28,Active,36996,276815,571,2023-02
LN00178,Chandresh Mangal,Mumbai,Personal Loan,75939,16.69,24,2023-03-01,Closed,8590,1337768,729,2023-03
LN00179,Rajata Rao,Chennai,Personal Loan,1251482,17.49,24,2023-03-01,Defaulted,8585,993778,780,2023-03
LN00180,Eesha Mandal,Mumbai,Personal Loan,592335,12.05,18,2023-03-01,Closed,12227,568242,587,2023-03
LN00181,Nitara Gupta,Hyderabad,Gold Loan,1386825,11.07,12,2023-03-02,Defaulted,31278,233192,619,2023-03
LN00182,Harita Nadig,Chennai,Personal Loan,125766,14.62,36,2023-03-02,Closed,41814,1406150,665,2023-03
LN00183,Abdul Dutta,Kolkata,Gold Loan,458923,12.38,36,2023-03-02,Active,15237,525005,788,2023-03
LN00184,Faris Nath,Chennai,Business Loan,618550,8.74,24,2023-03-03,Closed,18649,1322396,697,2023-03
LN00185,Suhani Kadakia,Hyderabad,Gold Loan,437261,9.98,12,2023-03-03,Active,40713,1446226,558,2023-03
LN00186,Yug Srinivasan,Kolkata,Personal Loan,860208,15.3,18,2023-03-03,Defaulted,10927,1229458,837,2023-03
LN00187,Gaurangi Shah,Hyderabad,Business Loan,735440,14.76,12,2023-03-04,Active,48409,1167272,599,2023-03
LN00188,Veda De,Kolkata,Personal Loan,1034346,8.76,6,2023-03-04,Closed,49154,1012140,554,2023-03
LN00189,Raksha Mutti,Mumbai,Business Loan,187848,10.61,12,2023-03-04,Closed,10016,4994,675,2023-03
LN00190,Ekaja Bassi,Mumbai,Gold Loan,667075,10.7,6,2023-03-05,Active,17027,790666,624,2023-03
LN00191,Abha Raval,Chennai,Business Loan,177948,14.88,6,2023-03-05,Closed,27142,69300,714,2023-03
LN00192,Ekanta Chaudry,Hyderabad,Business Loan,452690,8.69,18,2023-03-05,Active,49520,306093,827,2023-03
LN00193,Jeet Chaudhry,Kolkata,Gold Loan,549046,9.49,24,2023-03-06,Closed,26545,561693,849,2023-03
LN00194,Aachal Seth,Kolkata,Business Loan,501269,16.1,12,2023-03-06,Active,34897,1345592,839,2023-03
LN00195,Krishna Thaker,Hyderabad,Gold Loan,71959,10.2,6,2023-03-06,Closed,6167,1352935,626,2023-03
LN00196,Zaid Gour,Kolkata,Business Loan,278576,14.7,12,2023-03-07,Defaulted,47757,516479,847,2023-03
LN00197,Bhanumati Kapur,Bhubaneswar,Personal Loan,1065602,10.76,24,2023-03-07,Active,29917,1493551,686,2023-03
LN00198,Jagvi Gupta,Chennai,Business Loan,964091,9.44,24,2023-03-07,Closed,25736,339679,655,2023-03
LN00199,Kai Roy,Hyderabad,Gold Loan,215838,10.81,36,2023-03-08,Active,30990,1100293,644,2023-03
LN00200,Urvashi Gole,Bhubaneswar,Business Loan,1434250,15.36,24,2023-03-08,Active,17087,1051339,684,2023-03
LN00201,Frederick Bakshi,Chennai,Personal Loan,111087,16.63,18,2023-03-08,Closed,25440,355054,617,2023-03
LN00202,Manan Kadakia,Chennai,Personal Loan,1063343,16.39,6,2023-03-09,Active,38205,1104056,696,2023-03
LN00203,Dalbir Shetty,Mumbai,Gold Loan,168451,12.27,36,2023-03-09,Defaulted,18275,1255715,708,2023-03
LN00204,Aryan Johal,Kolkata,Business Loan,489792,14.85,18,2023-03-09,Defaulted,8276,1166670,712,2023-03
LN00205,Varsha Vaidya,Bhubaneswar,Business Loan,89353,10.45,12,2023-03-10,Active,44627,680667,738,2023-03
LN00206,Samesh Narasimhan,Bhubaneswar,Business Loan,243075,11.28,6,2023-03-10,Active,43586,751731,644,2023-03
LN00207,Mohini Banik,Chennai,Personal Loan,1312859,17.02,24,2023-03-10,Active,40496,1125424,730,2023-03
LN00208,Janaki Saha,Bhubaneswar,Business Loan,1413453,8.62,6,2023-03-11,Closed,22008,1216593,837,2023-03
LN00209,Anirudh Gupta,Chennai,Business Loan,115318,9.31,12,2023-03-11,NPA,8738,792908,736,2023-03
LN00210,Max Mani,Hyderabad,Personal Loan,815313,10.47,36,2023-03-11,Closed,35402,444972,687,2023-03
LN00211,Azaan Aurora,Kolkata,Gold Loan,466880,8.75,36,2023-03-12,Active,8793,442899,679,2023-03
LN00212,Chandresh Dhawan,Bhubaneswar,Business Loan,641460,10.22,36,2023-03-12,Closed,40291,481215,743,2023-03
LN00213,Laban Bora,Hyderabad,Gold Loan,790976,14.04,24,2023-03-12,NPA,8571,700636,822,2023-03
LN00214,Kashish Sathe,Hyderabad,Personal Loan,831239,12.5,18,2023-03-13,Active,34331,420162,693,2023-03
LN00215,Isaiah Raval,Bhubaneswar,Gold Loan,1191840,16.98,18,2023-03-13,NPA,19209,770050,565,2023-03
LN00216,Oscar Tandon,Chennai,Business Loan,820746,16.27,6,2023-03-13,Closed,28394,991437,794,2023-03
LN00217,Azad Kunda,Kolkata,Gold Loan,863168,11.75,24,2023-03-14,Closed,46148,45095,656,2023-03
LN00218,Ucchal Bansal,Kolkata,Business Loan,275281,10.96,36,2023-03-14,Active,28682,392118,637,2023-03
LN00219,Pavani Ravi,Hyderabad,Personal Loan,1070545,12.11,36,2023-03-14,Defaulted,5224,1465915,678,2023-03
LN00220,Darsh Sharma,Mumbai,Business Loan,948613,14.11,12,2023-03-15,Active,44157,350067,553,2023-03
LN00221,Diya Patla,Chennai,Gold Loan,1492646,11.05,12,2023-03-15,Active,47452,1441246,644,2023-03
LN00222,Viraj Chhabra,Kolkata,Business Loan,1450804,14.43,36,2023-03-15,Active,46408,1157738,758,2023-03
LN00223,Gavin Bajaj,Kolkata,Business Loan,319536,12.39,36,2023-03-16,Defaulted,35441,383071,774,2023-03
LN00224,Jack Sheth,Kolkata,Personal Loan,367824,13.74,24,2023-03-16,Closed,44430,270170,596,2023-03
LN00225,Pushti Mammen,Mumbai,Gold Loan,1356002,12.64,18,2023-03-16,Closed,42129,1375645,730,2023-03
LN00226,Bishakha Jaggi,Chennai,Gold Loan,227789,11.3,12,2023-03-17,Active,37716,1344385,655,2023-03
LN00227,Ansh Mane,Bhubaneswar,Personal Loan,792452,17.51,18,2023-03-17,Closed,47859,271421,748,2023-03
LN00228,Jonathan Mistry,Kolkata,Personal Loan,887291,15.75,24,2023-03-17,NPA,29586,173311,655,2023-03
